date,temperature
2023-12-16,21
2023-05-23,28
2023-03-06,14
2023-08-23,30
2023-08-01,25
2023-07-10,10
2023-01-04,20
2023-01-31,10
2023-03-26,24
2023-06-04,29
2023-02-19,10
2023-12-12,16
2023-07-15,26
2023-03-14,25
2023-12-07,20
2023-07-08,16
2023-06-19,24
2023-07-09,17
2023-01-01,27
2023-08-27,23
2023-10-13,27
2023-05-26,29
2023-03-05,28
2023-08-17,15
2023-05-10,14
2023-12-01,21
2023-07-22,20
2023-10-20,29
2023-12-27,23
2023-09-23,22
2023-04-24,22
2023-06-30,20
2023-03-11,20
2023-05-25,21
2023-05-20,23
2023-09-27,22
2023-05-24,19
2023-11-25,11
2023-03-08,12
2023-06-12,21
2023-05-04,28
2023-01-10,27
2023-04-19,20
2023-08-28,26
2023-11-28,20
2023-04-14,19
2023-06-17,25
2023-07-16,14
2023-02-08,27
2023-12-26,24
2023-07-02,20
2023-11-23,17
2023-02-18,16
2023-10-16,11
2023-06-15,29
2023-10-02,30
2023-08-20,26
2023-06-14,16
2023-04-26,16
2023-11-10,30
2023-01-25,11
2023-01-18,17
2023-09-10,16
2023-07-11,19
2023-11-16,28
2023-10-22,27
2023-09-13,26
2023-07-24,27
2023-06-16,23
2023-04-18,22
2023-06-05,24
2023-08-26,27
2023-04-07,13
2023-12-29,22
2023-01-24,30
2023-09-18,14
2023-12-05,16
2023-11-05,16
2023-06-28,28
2023-05-30,28
2023-12-18,13
2023-11-19,21
2023-10-17,24
2023-02-14,20
2023-11-20,17
2023-02-10,21
2023-01-05,10
2023-07-28,21
2023-10-18,29
2023-01-15,11
2023-04-12,28
2023-03-16,25
2023-03-28,26
2023-07-27,10
2023-04-01,11
2023-05-22,20
2023-02-21,27
2023-08-11,10
2023-10-15,25
2023-04-03,11
2023-12-03,13
2023-07-12,18
2023-08-22,24
2023-02-13,25
2023-12-11,13
2023-10-03,10
2023-02-16,24
2023-02-28,27
2023-11-02,30
2023-12-21,21
2023-09-20,19
2023-04-27,27
2023-04-04,18
2023-04-05,13
2023-09-29,20
2023-04-15,12
2023-05-07,22
2023-11-06,15
2023-07-01,29
2023-05-19,24
2023-04-02,26
2023-06-26,30
2023-05-15,16
2023-02-26,15
2023-01-29,24
2023-01-19,27
2023-06-22,30
2023-03-19,17
2023-07-03,14
2023-01-30,28
2023-01-26,19
2023-08-14,27
2023-02-27,24
2023-08-24,24
2023-10-04,29
2023-11-30,30
2023-11-08,20
2023-02-02,27
2023-05-27,10
2023-12-28,20
2023-07-29,11
2023-04-11,15
2023-09-21,19
2023-07-31,20
2023-09-09,13
2023-10-10,16
2023-04-10,13
2023-12-24,30
2023-10-28,20
2023-12-14,22
2023-09-22,17
2023-06-03,18
2023-02-24,18
2023-10-09,28
2023-04-13,14
2023-09-03,26
2023-06-11,18
2023-06-07,12
2023-07-18,27
2023-06-20,27
2023-12-04,10
2023-07-07,12
2023-04-17,15
2023-03-20,10
2023-07-26,23
2023-09-08,27
2023-09-11,16
2023-01-09,17
2023-12-08,21
2023-03-09,19
2023-12-30,13
2023-09-17,29
2023-05-13,23
2023-03-01,22
2023-05-01,17
2023-06-13,12
2023-09-28,15
2023-08-12,19
2023-08-02,26
2023-05-21,10
2023-09-30,19
2023-11-13,23
2023-03-12,18
2023-12-17,10
2023-10-30,25
2023-01-23,22
2023-11-14,18
2023-12-02,13
2023-07-05,17
2023-03-02,21
2023-07-30,25
2023-04-21,17
2023-10-31,22
2023-05-02,29
2023-11-03,15
2023-03-04,16
2023-09-07,14
2023-06-06,27
2023-07-06,29
2023-12-20,18
2023-05-29,24
2023-08-29,17
2023-11-04,20
2023-11-17,18
2023-04-09,10
2023-07-19,24
2023-05-08,15
2023-06-27,21
2023-12-13,16
2023-04-16,14
2023-01-20,29
2023-10-12,17
2023-03-17,22
2023-08-19,18
2023-02-04,19
2023-07-23,19
2023-01-16,27
2023-02-03,15
2023-09-05,12
2023-08-21,17
2023-03-10,14
2023-03-03,13
2023-05-11,12
2023-01-07,26
2023-08-05,13
2023-10-21,19
2023-09-02,25
2023-10-08,16
2023-12-23,18
2023-08-06,19
2023-03-07,24
2023-08-16,20
2023-08-18,21
2023-01-28,18
2023-11-29,23
2023-08-25,13
2023-12-15,15
2023-05-28,29
2023-11-26,12
2023-02-20,30
2023-06-24,10
2023-02-05,15
2023-02-07,21
2023-02-06,27
2023-01-06,29
2023-07-21,20
2023-02-12,16
2023-01-11,12
2023-06-23,17
2023-05-18,22
2023-08-03,18
2023-02-23,21
2023-12-25,16
2023-09-12,22
2023-08-04,28
2023-11-27,25
2023-01-08,13
2023-05-17,20
2023-09-14,30
2023-10-25,22
2023-06-10,23
2023-05-31,12
2023-08-07,24
